EDO concept,EDO label,EDO IRI,Mapping relation,External concept,External label,External IRI,External type,Alignment status,Confidence,Review status,Source standard,Rationale,Review note
edo:AsBuiltRole,As-built role,https://w3id.org/energy-domain/edo#AsBuiltRole,relatedMatch,edo-cfihos:LifecycleInformation,CFIHOS lifecycle information,https://w3id.org/energy-domain/edo/alignments/cfihos#LifecycleInformation,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:HighConfidence,edo-align:UnderReview,CFIHOS / IOGP,AsBuiltRole marks as-built information relevant to handover and operation.,
edo:Asset,Asset,https://w3id.org/energy-domain/edo#Asset,relatedMatch,edo-cfihos:EquipmentClass,CFIHOS equipment class,https://w3id.org/energy-domain/edo/alignments/cfihos#EquipmentClass,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,"Asset is related to CFIHOS tag and equipment classification, but exact mapping depends on whether the EDO class is used as a functional asset, physical asset, system or equipment concept.",
edo:Asset,Asset,https://w3id.org/energy-domain/edo#Asset,relatedMatch,edo-cfihos:TagClass,CFIHOS tag class,https://w3id.org/energy-domain/edo/alignments/cfihos#TagClass,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,"Asset is related to CFIHOS tag and equipment classification, but exact mapping depends on whether the EDO class is used as a functional asset, physical asset, system or equipment concept.",
edo:CertifiedRole,Certified role,https://w3id.org/energy-domain/edo#CertifiedRole,relatedMatch,edo-cfihos:LifecycleInformation,CFIHOS lifecycle information,https://w3id.org/energy-domain/edo/alignments/cfihos#LifecycleInformation,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,CertifiedRole marks certified values that can support traceability and acceptance in handover information.,
edo:DesignRole,Design role,https://w3id.org/energy-domain/edo#DesignRole,relatedMatch,edo-cfihos:LifecycleInformation,CFIHOS lifecycle information,https://w3id.org/energy-domain/edo/alignments/cfihos#LifecycleInformation,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,DesignRole marks design-stage information relevant to handover and lifecycle data management.,
edo:DomainAttribute,Domain Attribute,https://w3id.org/energy-domain/edo#DomainAttribute,closeMatch,edo-cfihos:Property,CFIHOS Property,https://w3id.org/energy-domain/edo/alignments/cfihos#Property,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:HighConfidence,edo-align:UnderReview,CFIHOS / IOGP,DomainAttribute is the EDO operational concept closest to a CFIHOS property: it represents a named information requirement or property that can be used in data dictionaries and data contracts.,
edo:DomainElement,Domain Element,https://w3id.org/energy-domain/edo#DomainElement,relatedMatch,edo-cfihos:EquipmentClass,CFIHOS equipment class,https://w3id.org/energy-domain/edo/alignments/cfihos#EquipmentClass,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,"DomainElement is broader than CFIHOS tag or equipment classes. It represents EDO concepts that make up projects or assets and can participate in information deliveries, including physical, functional and informational elements.",
edo:DomainElement,Domain Element,https://w3id.org/energy-domain/edo#DomainElement,relatedMatch,edo-cfihos:TagClass,CFIHOS tag class,https://w3id.org/energy-domain/edo/alignments/cfihos#TagClass,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,"DomainElement is broader than CFIHOS tag or equipment classes. It represents EDO concepts that make up projects or assets and can participate in information deliveries, including physical, functional and informational elements.",
edo:FunctionalAttribute,Functional Attribute,https://w3id.org/energy-domain/edo#FunctionalAttribute,relatedMatch,edo-cfihos:Property,CFIHOS Property,https://w3id.org/energy-domain/edo/alignments/cfihos#Property,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,FunctionalAttribute represents functional characteristics or capabilities that may appear as handover properties.,
edo:IdentificationAttribute,Identification Attribute,https://w3id.org/energy-domain/edo#IdentificationAttribute,relatedMatch,edo-cfihos:Property,CFIHOS Property,https://w3id.org/energy-domain/edo/alignments/cfihos#Property,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,IdentificationAttribute represents identifiers and naming-related properties used in information handover.,
edo:OperatingRole,Operating role,https://w3id.org/energy-domain/edo#OperatingRole,relatedMatch,edo-cfihos:LifecycleInformation,CFIHOS lifecycle information,https://w3id.org/energy-domain/edo/alignments/cfihos#LifecycleInformation,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,OperatingRole marks operating information relevant to lifecycle operation and maintenance contexts.,
edo:PhysicalPropertyAttribute,Physical Property Attribute,https://w3id.org/energy-domain/edo#PhysicalPropertyAttribute,relatedMatch,edo-cfihos:Property,CFIHOS Property,https://w3id.org/energy-domain/edo/alignments/cfihos#Property,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,PhysicalPropertyAttribute represents physical properties used as delivered or required property information.,
edo:RequirementRole,Requirement role,https://w3id.org/energy-domain/edo#RequirementRole,closeMatch,edo-cfihos:Requirement,CFIHOS requirement,https://w3id.org/energy-domain/edo/alignments/cfihos#Requirement,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:HighConfidence,edo-align:UnderReview,CFIHOS / IOGP,"RequirementRole marks EDO attributes whose values express required, contractual or specification-driven information.",
edo:Specification,Specification,https://w3id.org/energy-domain/edo#Specification,relatedMatch,edo-cfihos:Document,CFIHOS document,https://w3id.org/energy-domain/edo/alignments/cfihos#Document,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,Specification may act both as a document-like artefact and as a source of requirements for property values or information delivery constraints.,
edo:Specification,Specification,https://w3id.org/energy-domain/edo#Specification,relatedMatch,edo-cfihos:Requirement,CFIHOS requirement,https://w3id.org/energy-domain/edo/alignments/cfihos#Requirement,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,Specification may act both as a document-like artefact and as a source of requirements for property values or information delivery constraints.,
edo:TechnicalArtifact,Technical Artifact,https://w3id.org/energy-domain/edo#TechnicalArtifact,relatedMatch,edo-cfihos:Document,CFIHOS document,https://w3id.org/energy-domain/edo/alignments/cfihos#Document,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,"TechnicalArtifact covers informational artefacts used by EDO. In a CFIHOS handover perspective, many such artefacts correspond to documents or document references.",
edo:TestRole,Test role,https://w3id.org/energy-domain/edo#TestRole,relatedMatch,edo-cfihos:LifecycleInformation,CFIHOS lifecycle information,https://w3id.org/energy-domain/edo/alignments/cfihos#LifecycleInformation,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,"TestRole marks test information that may support verification, acceptance and handover traceability.",
edo:hasAttribute,Has Attribute,https://w3id.org/energy-domain/edo#hasAttribute,closeMatch,edo-cfihos:ClassProperty,CFIHOS class property,https://w3id.org/energy-domain/edo/alignments/cfihos#ClassProperty,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:HighConfidence,edo-align:UnderReview,CFIHOS / IOGP,"hasAttribute expresses that an EDO domain element has an applicable domain attribute. This is close to the CFIHOS class-property applicability pattern, while remaining an EDO annotation relation rather than a materialised class-property entity.",
edo:hasAttributeScope,has attribute scope,https://w3id.org/energy-domain/edo#hasAttributeScope,relatedMatch,edo-cfihos:ClassProperty,CFIHOS class property,https://w3id.org/energy-domain/edo/alignments/cfihos#ClassProperty,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,hasAttributeScope distinguishes type-level and instance-level attribute use in EDO. This is relevant to the CFIHOS distinction between class-level property applicability and delivered instance information.,
edo:hasTypedValue,Has Typed Value,https://w3id.org/energy-domain/edo#hasTypedValue,relatedMatch,edo-cfihos:Property,CFIHOS Property,https://w3id.org/energy-domain/edo/alignments/cfihos#Property,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,"hasTypedValue records the expected value datatype category of an EDO attribute. It is related to, but not equivalent to, CFIHOS property value typing.",
edo:hasUnit,Has Unit,https://w3id.org/energy-domain/edo#hasUnit,closeMatch,edo-cfihos:UnitOfMeasure,CFIHOS unit of measure,https://w3id.org/energy-domain/edo/alignments/cfihos#UnitOfMeasure,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:HighConfidence,edo-align:UnderReview,CFIHOS / IOGP,hasUnit records the expected unit for an EDO domain attribute. This is close to the CFIHOS treatment of unit of measure associated with property values.,
edo:hasValueCardinality,Has Value Cardinality,https://w3id.org/energy-domain/edo#hasValueCardinality,relatedMatch,edo-cfihos:Property,CFIHOS Property,https://w3id.org/energy-domain/edo/alignments/cfihos#Property,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,hasValueCardinality records whether an EDO attribute is expected to have a single value or multiple values. It supports data-contract validation rather than representing a CFIHOS concept directly.,
edo:lifecycleRole,Lifecycle role,https://w3id.org/energy-domain/edo#lifecycleRole,relatedMatch,edo-cfihos:LifecycleInformation,CFIHOS lifecycle information,https://w3id.org/energy-domain/edo/alignments/cfihos#LifecycleInformation,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:HighConfidence,edo-align:UnderReview,CFIHOS / IOGP,"lifecycleRole classifies the role of a value in the asset lifecycle, such as requirement, design, certified, installed, as-built, operating or test information. This supports CFIHOS-style handover interpretation without making the EDO core dependent on CFIHOS.",
